Malli;Numero;Kohteen osoite;Postinumero;Postitoimipaikka;Sijaintipaikan tyyppi;Sijaintipaikka;Aukioloaika;Aukioloaika (lis�tiedot);Koordinaatti LAT;Koordinaatti LON
O;05281;AHOLANTIE 17;88400;RISTIJ�RVI;PANKIN KONTTORI;OP RISTIJ�RVI;24 H AUKIOLO;;64.505374;28.214425
O;05090;KAINUUNTIE 16;88600;SOTKAMO;PANKIN KONTTORI;NORDEA SOTKAMO;24 H AUKIOLO;;64.130530;28.382530
T;40112;KAINUUNTIE 22;88600;SOTKAMO;PANKIN KONTTORI;OP SOTKAMO;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 6-23;64.130860;28.385630
P;05665;HEIKINTIE 1;88610;VUOKATTI;KAUPPAKESKUS;VUOKATIN LIIKEKESKUS;24 H AUKIOLO;;64.145777;28.268999
O;04133;KOULUKATU 10;88900;KUHMO;PANKIN KONTTORI;OP KUHMO;24 H AUKIOLO;;64.127280;29.523680
O;04404;MAAHERRANKATU 12;89200;PUOLANKA;PANKIN KONTTORI;OP PUOLANKA;24 H AUKIOLO;;64.867720;27.675640
O;04166;VIRTATIE 3;89400;HYRYNSALMI;HUOLTOASEMA;TEBOIL HYRYNSALMI;24 H AUKIOLO;;64.676161;28.491076
P;05749;KESKUSKATU 16;89600;SUOMUSSALMI;PANKIN KONTTORI;NORDEA SUOMUSSALMI;24 H AUKIOLO;;64.883614;28.912984
O;04270;KESKUSKATU 3;89600;SUOMUSSALMI;PANKIN KONTTORI;OP SUOMUSSALMI;24 H AUKIOLO;;64.884326;28.910029
P;05583;HALLITUSKATU 36;90100;OULU;POSTI;POSTI OULU-10;24 H AUKIOLO;;65.010710;25.481650
T;40039;ISOKATU 14;90100;OULU;PANKIN KONTTORI;OP OULU ISOKATU;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 5-23;65.012580;25.473820
EP;05646;ISOKATU 33;90100;OULU;TAVARATALO;K-SUPERMARKET RUOKAHOVI;LIIKETILAN AUKIOLO;;65.010630;25.471420
O;03754;ISOKATU 51;90100;OULU;PANKIN KONTTORI;OP POPPIA;24 H AUKIOLO;;65.007840;25.467690
EP;05610;KIRKKOKATU 14;90100;OULU;TAVARATALO;STOCKMANN OULU;LIIKETILAN AUKIOLO;;65.011484;25.469497
O;04089;KIRKKOKATU 18;90100;OULU;LIIKEKIINTEIST�;ROTUAARI;24 H AUKIOLO;;65.010926;25.468667
O;04739;KIRKKOKATU 21;90100;OULU;KAUPPA;PUKUMIES;24 H AUKIOLO;;65.011663;25.470247
T;40031;KIRKKOKATU 6;90100;OULU;PANKIN KONTTORI;NORDEA KIRKKOKATU;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 6-24;65.013030;25.471750
O;04640;PAKKAHUONEENKATU 13;90100;OULU;PANKIN KONTTORI;DANSKE OULU;24 H AUKIOLO;;65.012670;25.471800
EP;05641;TEHTAANKATU 1;90130;OULU;KAUPPA;SALE RAKSILA;LIIKETILAN AUKIOLO;;65.010250;25.492360
EP;05554;TEHTAANKATU 3;90130;OULU;KAUPPA;PRISMA RAKSILA;LIIKETILAN AUKIOLO;;65.009940;25.489880
O;04869;TEHTAANKATU 5;90130;OULU;TAVARATALO;K-CITYMARKET RAKSILA;24 H AUKIOLO;;65.010290;25.492300
O;04870;TEHTAANKATU 5;90130;OULU;TAVARATALO;K-CITYMARKET RAKSILA;24 H AUKIOLO;;65.010280;25.492360
P;05758;PALJETIE 4;90140;OULU;KAUPPA;K-SUPERMARKET JOUTSENSILTA;24 H AUKIOLO;;64.999726;25.476628
O;04192;LATOKARTANONTIE 1;90150;OULU;LIIKEKIINTEIST�;H�YHTY�N OSTOSKESKUS;24 H AUKIOLO;;64.996820;25.485850
O;04576;RANTA-KASTELLINTIE 4;90230;OULU;PANKIN KONTTORI;OP KASTELLI;24 H AUKIOLO;;65.009219;25.534015
O;05152;KANGASKONTIONTIE 3;90240;OULU;KAUPPA;SALE MAIKKULA;24 H AUKIOLO;;64.982677;25.565922
O;03795;HIIRIHAUKANTIE 5;90250;OULU;KAUPPA;S-MARKET KAUKOVAINIO;24 H AUKIOLO;;64.992297;25.517178
EP;05648;NUOTTASAARENTIE 1;90400;OULU;TAVARATALO;PRISMA LIMINGANTULLI;LIIKETILAN AUKIOLO;;64.996160;25.461930
P;05831;METSOKANKAANTIE 5;90420;OULU;TAVARATALO;K-CITYMARKET KAAKKURI;24 H AUKIOLO;;64.956900;25.526380
T;40106;METSOKANKAANTIE 5;90420;OULU;TAVARATALO;K-CITYMARKET KAAKKURI;LIIKETILAN AUKIOLO;;64.956870;25.526620
O;04945;OLLILANTIE 2;90440;KEMPELE;PANKIN KONTTORI;OP KEMPELE;24 H AUKIOLO;;64.912880;25.503790
O;04433;ZEPPELININTIE 1;90450;KEMPELE;KAUPPAKESKUS;ZEPPELIN;24 H AUKIOLO;;64.901910;25.537250
EP;05692;ZEPPELININTIE 1;90450;KEMPELE;KAUPPAKESKUS;ZEPPELIN;LIIKETILAN AUKIOLO;;64.902370;25.537380
P;05920;KARHUOJANTIE 2;90460;OULUNSALO;KAUPPAKESKUS;OULUNSALON KAPTEENI;24 H AUKIOLO;;64.934910;25.402120
P;05709;LUOVONTIE 138;90480;HAILUOTO;PANKIN KONTTORI;OP HAILUOTO;24 H AUKIOLO;;65.013000;24.729490
P;05903;VALTATIE 28;90500;OULU;KAUPPA;S-MARKET TUIRA;24 H AUKIOLO;;65.025310;25.475330
P;05904;SATAMATIE 26;90520;OULU;KAUPPA;K-SUPERMARKET TOPPILA;24 H AUKIOLO;;65.034480;25.434100
O;04064;REVONTIE 2;90530;OULU;KAUPPA;K-SUPERMARKET V�LIVAINIO;24 H AUKIOLO;;65.030805;25.470978
EP;05536;RITAHARJUNTIE 49;90540;OULU;KAUPPAKESKUS;IDEAPARK OULU;LIIKETILAN AUKIOLO;;65.075970;25.446960
T;40068;RITAHARJUNTIE 49;90540;OULU;KAUPPAKESKUS;IDEAPARK OULU;LIIKETILAN AUKIOLO;;65.077280;25.448370
P;05710;MENNINK�ISENTIE 2;90550;OULU;KAUPPA;S-MARKET PUOLIV�LINKANGAS;24 H AUKIOLO;;65.042686;25.479450
O;04771;KALEVALANKUJA 12;90570;OULU;KIOSKI;R-KIOSKI KAIJONHARJU;24 H AUKIOLO;;65.060218;25.486233
EP;05611;KAUPPALINNANKUJA 1;90570;OULU;KAUPPAKESKUS;LINNANMAA;LIIKETILAN AUKIOLO;;65.054987;25.457143
O;04600;KOISOTIE 1;90580;OULU;KAUPPA;K-MARKET RAJAKYL�;24 H AUKIOLO;;65.065058;25.417251
P;05825;LAAKERITIE 4;90620;OULU;TAVARATALO;K-CITYMARKET RUSKO;24 H AUKIOLO;;65.039668;25.551716
EP;05645;KARVARINAUKIO 7;90650;OULU;KAUPPA;SALE MYLLYOJA;LIIKETILAN AUKIOLO;;65.019361;25.552492
P;05718;KISSANKUJA 4;90820;KELLO;KAUPPA;S-MARKET KELLO;24 H AUKIOLO;;65.129250;25.357500
T;40105;REVONTIE 8;90830;HAUKIPUDAS;TAVARATALO;K-SUPERMARKET HAUKIPUDAS;LIIKETILAN AUKIOLO;;65.175650;25.348720
O;04429;V�LITIE 1;90830;HAUKIPUDAS;KAUPPA;S-MARKET REIMARI;24 H AUKIOLO;;65.175661;25.355407
O;03832;TERVEYSTIE 6;90900;KIIMINKI;PANKIN KONTTORI;OP KIIMINKI;24 H AUKIOLO;;65.129330;25.778310
P;05804;KESKUSPISTO 1;90940;J��LI;KAUPPA;KIIMINGIN LIIKETALO;24 H AUKIOLO;;65.092210;25.689670
O;05072;HAMINANTIE 4;91100;II;PANKIN KONTTORI;OP II;24 H AUKIOLO;;65.323021;25.377951
EP;05609;SOROSENTIE 2;91100;II;KAUPPAKESKUS;K�RKK�INEN EXPRESS;LIIKETILAN AUKIOLO;;65.288982;25.373030
P;05924;KARJALANTIE 3;91200;YLI-II;KAUPPA;SALE YLI-II;24 H AUKIOLO;;65.372330;25.840140
O;05292;HARJUTIE 14;91300;YLIKIIMINKI;PANKIN KONTTORI;OP YLIKIIMINKI;24 H AUKIOLO;;65.030460;26.153280
O;03828;VALTATIE 30;91500;MUHOS;PANKIN KONTTORI;OP MUHOS;24 H AUKIOLO;;64.806140;25.998710
O;03890;VANHATIE 35;91600;UTAJ�RVI;PANKIN KONTTORI;OP UTAJ�RVI;24 H AUKIOLO;;64.760760;26.421010
O;05014;VAALANTIE 19;91700;VAALA;PANKIN KONTTORI;OP VAALA;24 H AUKIOLO;;64.559030;26.837550
O;04352;VANHATIE 14;91800;TYRN�V�;PANKIN KONTTORI;OP TYRN�V�;24 H AUKIOLO;;64.762879;25.646057
O;04601;KAUPPAKATU 2;91900;LIMINKA;PANKIN KONTTORI;OP LIMINKA;24 H AUKIOLO;;64.809410;25.416570
O;04884;LUMIJOENTIE 1228;91980;LUMIJOKI;PANKIN KONTTORI;OP LUMIJOKI;24 H AUKIOLO;;64.836780;25.189430
T;40082;KIRKKOKATU 34;92100;RAAHE;PANKIN KONTTORI;OP RAAHE;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 6-23;64.684320;24.479560
O;04273;OLLINKALLIONTIE 2;92100;RAAHE;TAVARATALO;K-CITYMARKET RAAHE;24 H AUKIOLO;;64.678232;24.487363
O;03990;PALOKUNNANKATU 37;92100;RAAHE;TAVARATALO;PRISMA RAAHE;24 H AUKIOLO;;64.684336;24.483754
O;04050;OLLINSAARENKUJA 1;92120;RAAHE;LIIKEKIINTEIST�;OLLINSAAREN KESKUS;24 H AUKIOLO;;64.678106;24.506887
P;05826;ANTINKANKAANTIE 32;92130;RAAHE;KAUPPA;K-SUPERMARKET KREIVINTORI;24 H AUKIOLO;;64.687120;24.501150
P;05715;PUISTOTIE 3;92140;PATTIJOKI;KAUPPA;K-MARKET PATTIJOKI;24 H AUKIOLO;;64.691690;24.574950
P;05701;SIIKASAVONTIE 3;92400;RUUKKI;PANKIN KONTTORI;OP RUUKKI;24 H AUKIOLO;;64.665040;25.102360
O;04790;PAAVOLANTIE 15;92500;RANTSILA;PANKIN KONTTORI;OP RANTSILA;24 H AUKIOLO;;64.506547;25.652795
O;05095;PULKKILANTIE 17;92600;PULKKILA;PANKIN KONTTORI;OP PULKKILA;24 H AUKIOLO;;64.270940;25.866440
O;04213;H�RM�NTIE 2;92700;KESTIL�;PANKIN KONTTORI;OP KESTIL�;24 H AUKIOLO;;64.351616;26.280065
O;04571;MANUNTIE 2;92930;PYH�NT�;PANKIN KONTTORI;OP PYH�NT�;24 H AUKIOLO;;64.096785;26.331251
O;04222;S�HK�TIE 1;93100;PUDASJ�RVI;KAUPPA;K-SUPERMARKET PUDASJ�RVI;24 H AUKIOLO;;65.360582;26.988078
O;04755;TORITIE 1;93100;PUDASJ�RVI;PANKIN KONTTORI;OP PUDASJ�RVI;24 H AUKIOLO;;65.359138;26.996505
O;03752;KAUPPATIE 11;93400;TAIVALKOSKI;KAUPPA;S-MARKET JOKI-JUSSI;24 H AUKIOLO;;65.575490;28.243050
T;40071;HUOPARINTIE 1;93600;KUUSAMO;PANKIN KONTTORI;PRISMA KUUSAMO;LIIKETILAN AUKIOLO;;65.957924;29.160745
O;04067;KITKANTIE 53;93600;KUUSAMO;KAUPPA;HALPA-HALLI JUUSOLA;24 H AUKIOLO;;65.974589;29.177936
O;04335;KITKANTIE 7;93600;KUUSAMO;PANKIN KONTTORI;OP KUUSAMO;24 H AUKIOLO;;65.965434;29.186898
O;04530;LUOMANTIE 1;93600;KUUSAMO;LIIKEKIINTEIST�;KUUSAMON LIIKEKESKUS;24 H AUKIOLO;;65.955830;29.160903
O;04930;RUKANKYL�NTIE 8;93825;KUUSAMO;LIIKEKIINTEIST�;RUKA;24 H AUKIOLO;;66.168200;29.138220
P;05820;ASEMAKATU 1;94100;KEMI;TAVARATALO;K-CITYMARKET KEMI;24 H AUKIOLO;;65.739901;24.565069
O;03979;KAUPPAKATU 6;94100;KEMI;PANKIN KONTTORI;OP KEMI;24 H AUKIOLO;;65.736980;24.566590
O;04454;KESKUSPUISTOKATU 1;94100;KEMI;KAUPPA;S-MARKET KEMI;LIIKETILAN AUKIOLO;;65.737693;24.560704
O;03714;TORNIONKATU 17;94200;KEMI;KIOSKI;KARIHAARAN KIOSKI;24 H AUKIOLO;;65.759886;24.546653
O;04782;JOKISUUNTIE 8;94400;KEMINMAA;TAVARATALO;K-CITYMARKET KEMINMAA;24 H AUKIOLO;;65.792280;24.524240
O;03738;ROVANIEMENTIE 36 C;94400;KEMINMAA;LIIKEKIINTEIST�;KEMINMAAN LIIKEKESKUS;24 H AUKIOLO;;65.802520;24.545610
P;05723;KARJALAHDENKATU 7;94600;KEMI;TAVARATALO;PRISMA KEMI;LIIKETILAN AUKIOLO;;65.735088;24.583070
O;05203;KIVELI�NKATU 28;94600;KEMI;KAUPPA;TAMPEREEN S��ST�TEX;24 H AUKIOLO;;65.743825;24.589449
O;04528;OULUNTIE 29;94700;KEMI;KAUPPA;K-MARKET MESSI;24 H AUKIOLO;;65.729320;24.603929
T;40111;ASEMAKATU 1;95100;KEMI;TAVARATALO;K-CITYMARKET KEMI;LIIKETILAN AUKIOLO;;65.739900;24.565070
O;05323;VANHATIE 6;95200;SIMO;KAUPPA;SALE SIMO;24 H AUKIOLO;;65.661880;25.065740
O;04031;KESKUSTIE 95;95300;TERVOLA;PANKIN KONTTORI;OP TERVOLA;24 H AUKIOLO;;66.090170;24.810860
O;03794;HALLITUSKATU 14;95400;TORNIO;PANKIN KONTTORI;OP TORNIO;24 H AUKIOLO;;65.846090;24.149690
O;03786;ISOPALONTIE 11;95400;TORNIO;KAUPPA;K-MARKET LOHIPATO;24 H AUKIOLO;;65.857156;24.171175
O;04065;L�NSIRANTA 10;95400;TORNIO;KAUPPAKESKUS;P� GR�NSEN - RAJALLA;LIIKETILAN AUKIOLO;;65.844150;24.142180
